title,text,subject,date
"400-bed Covid care centre at Gurudwara Rakab Ganj to begin operations today, says Satyendar Jain","The 400-bed Covid care and centre at Gurudwara Rakab Ganj Sahib will be operational from Monday, said Delhi health minister Satyendar Jain, who was on a visit to review the amenities. Thanking the Delhi Sikh Gurudwara Management Committee (DSGMC), the health minister said the facility is equipped with essential oxygen support and medicines.",CovidNews," May 10 , 2021"
ESIC installs oxygen plants at 2 Delhi-NCR hospitals; Kejriwal govt extends lockdown till May 17,"The ESIC under the Ministry of Labour and Employment has installed oxygen generation plants at two hospitals in the Delhi NCR area. A 440 LPM capacity plant has been installed at the ESIC Hospital and Medical College in Faridabad, while another plant of 220 LPM capacity was commissioned at ESIC Hospital in Jhilmil, New Delhi, today. This will enable these hospitals to augment the availability of their ICU and ventilator beds.",CovidNews," May 10 , 2021"
"COVID-19 vaccination: Covaxin stock in Delhi to last a day, Covishield for 3-4 days","Delhi Health Minister Satyendar Jain on Monday said the national capital has Covaxin stock for only one day, while Covishield stock will last for up to four days only.",CovidNews," May 10 , 2021"
Mumbai seeks to import millions of vaccines to avert Covid wave,"Authorities in India’s financial hub Mumbai are seeking to import millions of vaccine doses to help avert a third potential coronavirus wave.
The municipal corporation is in talks with the state government to allow it to invite bids from global manufacturers, Commissioner Iqbal Singh Chahal said in an interview on Monday.",CovidNews," May 10 , 2021"
Delhi surgeon who got second Covid vaccine in March dies of virus,"Dr Bhardwaj said his team tried all that was possible to save him and even considered a lung transplant: “We gave him whatever was needed. We did everything possible… It’s a huge loss. So many doctors and healthcare staff are falling sick, even after being vaccinated, but they are recovering after having mild symptoms. This is the first death at present of a doctor who was fully vaccinated.”",CovidNews," May 09 , 2021"
Children below 18 years at risk in Covid 3rd wave. Experts explain why,Experts say that children and newborns are at risk in the possible third Covid-19 wave as they are yet to be inoculated against the Covid-19 infection.,CovidNews," May 08 , 2021"
India fastest country to administer over 17 crore Covid vaccine doses: Govt,"India took only 114 days to administer 17 crore doses of the Covid-19 vaccine, the fastest country to do so, the Union Health Ministry said on Monday.

The United States took 115 days to administer 17 crore doses of coronavirus vaccine, while China took 119 days to cross the same number, it said.",CovidNews," May 10 , 2021"
"Coronavirus India Live Updates: Maharashtra daily cases drop below 40,000 for 1st time since March 31","Coronavirus (Covid-19) India Lockdown News Live Updates: Shiv Sena leader Aaditya Thackeray said that after consulting with Maharashtra CM Uddhav Thackeray, he urged the BMC to look into the possibility of procuring Covid vaccines from foreign countries.",CovidNews," May 11 , 2021"
"Delhi Covid lockdown news live: Capital records 319 Covid-19 deaths, 12,651 new cases","In an effort to check the rising Covid-19 cases, Delhi chief minister Arvind Kejriwal on Sunday extended the lockdown in the national capital for another week till May 17. Delhi Metro services have also been suspended from Monday, the chief minister informed. Delhi has been under a lockdown since April 20 in view of the second Covid-19 wave. Deputy chief minister Manish Sisodia and Aam Aadmi Party national spokesperson Raghav Chadha on Saturday appealed to the Centre to increase Delhi’s oxygen supply to 700 metric tonnes.",CovidNews," May 10 , 2021"
Coronavirus India Highlights: Congress presses for national lockdown to stem Covid spread,"he Congress on Saturday accused the Centre of abject failure in protecting the lives of people and urged it to follow the suggestions of experts by declaring a national lockdown in the wake of rising cases of the novel coronavirus infection. In a tweet, Gandhi accused Prime Minister Narendra Modi of “not utilising the vaccination budget” and imposing GST on Covid-19 vaccines.",CovidNews," May 09 , 2021"
70% Delhiites in favour of Covid lockdown extension by 2 weeks: Study,"70 per cent of Delhi residents are in favour of an extension of the Covid-19 lockdown by two weeks in the wake of increasing Covid-19 cases, a study has revealed.",CovidNews," May 10 , 2021"
Delhi Residents Can Apply For Oxygen Cylinders Online For Covid Patients ," Along with the application for oxygen cylinders, people will have to upload photos, Aadhaar card, Covid positive report. If there is a report of a CT Scan one can also upload that to say the patient needs oxygen.",CovidNews," May 06 , 2021"
24-hour helpline to assist with refilling oxygen cylinders in Delhi,A team of event managers have set up a 24 hours helpline to help people with real-time updates on oxygen supplies.,CovidNews," May 05 , 2021"
"Delhi: Fire extinguishers painted and sold as oxygen cylinders, 3 arrested","Three people, including a distributor, have been arrested by Delhi Police for cheating people by painting discarded fire extinguishers and selling them off as empty oxygen cylinders to families of Covid-19 patients.",CovidNews," May 06 , 2021"
Delhi Oxygen Crisis: Looking for medical O2 for COVID-19 patients in Delhi-NCR,"COVID-19 crisis has been raging in India that has led to a massive spike in daily cases. Delhi, which has been hit by the fourth wave of the pandemic, has especially seen a spike in cases, forcing the Arvind Kejriwal-led Aam Aadmi Party (AAP) government to impose a six-day lockdown in the national capital.",CovidNews,"April 27,2021"
"Oxygen Level of 92-93 Shouldn't Be Considered Critical, But...': AIIMS Chief on Use of O2 Cylinders","As per the World Health Organisation (WHO), if the oxygen saturation level is 94 per cent or less, then the patient needs to be given a treatment quickly. A saturation level of lower than 90 per cent is considered as a clinical emergency.",CovidNews,"May 06,2021"
How to maintain oxygen levels while being in home isolation,"The coronavirus situation in the country is at its peak yet again, as many gasp for breath amid the oxygen crisis while medical experts stress the need to maintain oxygen saturation in COVID-19 patients.

“People must be aware of how one can manage a situation when oxygen levels are dipping. Getting medical attention or oxygen supply immediately is not an option,” says Dr Vivek Anand Padegal, director – pulmonology, Fortis Hospitals, Bannerghatta Road.",CovidNews,"May 02,2021"
How proning can help improving oxygen levels in Covid-19 patients,"With India witnessing a surge in novel coronavirus cases, doctors are advocating proning exercises to improve oxygen levels in Covid-19 patients, both in hospital and in home isolation. Proning is a medically approved position of human body, which is also being promoted by the government. While doing this exercise, patients lie on their abdomen to boost the levels of oxygen. The proning exercises provide immediate benefits, an IE report said. An English daily recently reported how an 82-year-old Covid positive patient from Gorakhpur, improved her oxygen levels from 75 to 94 after sleeping in a prone position. In hospitals, proning is being advised to patients who are covid positive so that they may not require additional oxygen support.",CovidNews,"May 05,2021"
"As Covid Cases Surge, Centre Recommends ""Proning"". ","Proning is a medically accepted position to improve breathing comfort and oxygenation. Covid patients with compromised breathing comfort in home isolation will find it extremely beneficial, says the government.",CovidNews,"April 23,2021"
Covid-19: Does lying face-down in ‘prone position’ improve oxygen levels?,"""This position helps in improving oxygen flow in patients who are critical, in turn ensuring that they are less likely to require ventilator support,"" said Dr Praveen Gupta, director and head of department, neurology, Fortis Memorial Research Institute, Gurugram",CovidNews,"April 23,2021"
"COVID-19 myth buster: No link between 5G mobile towers and virus, says DoT","The Department of Telecommunications (DoT), Ministry of Communications has released a press statement around the misconceptions floating around the connection between the spread of COVID-19 and 5G technology.",CovidNews,"May 10,2021"
COVID-19 Second Wave Caused by Testing of 5G Mobile Towers? Department of Telecommunications Debunks Fake Viral Claim,"The Department of Telecommunications (DoT) has debunked the fake news and said that the claims of covid-19 being spread by the 5G network test are ""baseless and false."" Earlier a similar message went viral which claimed that people are dying and facing respiratory illness due to the harmful air caused by 5G radiation. However, the PIB dismissed the claim and termed it fake.",CovidNews,"May 10,2021"
"Covaxin will cost Rs 600 per dose for state govts, Rs 1,200 for private hospitals: Bharat Biotech","Bharat Biotech has announced price of Covaxin and said the vaccine will be sold at Rs 600 per dose to state governments and Rs 1,200 per dose to private hospitals.",CovidNews,"April24,2021"
"Covishield, Covaxin protect against 'Indian strain' of COVID-19, shows preliminary study","Both of India's vaccines, Covishield and Covaxin, have shown efficacy against the ""Indian strain"" of coronavirus, also known as B.1.617 variant or ""double mutant"", a new study has found. Preliminary results of the study conducted on the new Indian strain of COVID-19 have revealed that it could generate only ""milder"" illness in case of infection post-vaccination.",CovidNews,"April28,2021"
"National lockdown, just not in name: Almost 98% of India is under some form of lockdown","Unlike the big-bang order of March 2020, India didn’t formally announce a national lockdown during the second wave of the pandemic this year. But daily life in almost 98 per cent of the country is already restricted one way or the other as the Asian giant comes to grips with the new ferocious surge.",CovidNews,"May 10,2021"
Vaccination before the third wave is the key to saving lives: Dr Kiran Thottambyle,"Sandalwood music director and doctor, Kiran Thottambyle is currently on Covid duty and back at the frontline where he was even during the first wave. “As a doctor, it is sheer helplessness that I go through every time a patient dies due to lack of oxygen or because they were brought to the hospital a tad late,” he states.",CovidNews,"May 10,2021"
Central Government issues separate COVID-19 guidelines for children ,"Due to the second wave of COVID-19 in the country, the situation is constantly getting worse. This time the infection is also being seen in children. In the midst of all this, the government has issued COVID-19 guidelines for children for the first time. Efforts are also being made in these guidelines to reduce the pressure on hospitals.",CovidNews,"April 30,2021"
 Does steam therapy really kills coronavirus?,Some people are also recommending that you take steam for 15 to 20 minutes or as long as you can. But neither the Centers for Disease Control and Prevention (CDC) nor the World Health Organization (WHO) has confirmed that steam therapy is a cure for coronavirus infection.,CovidNews,"April 24 ,2021"
How effective are home remedies in treating COVID-19,"The first home remedy is that the body gets enough oxygen from Nebulizer therapy.

This claim is completely false. Nebulizer therapy is considered to be the most effective way to deliver a drug directly to the lungs via inhalation. But experts say that this technique is not effective in providing extra oxygen to the body. And its misuse can be lethal. So if you are taking Nebulizer therapy then consult your doctor first.",CovidNews," May 07, 2021"
Kadha To Combat COVID-19? Debunking Myths About This Herbal Concoction,"From vitamin C and zinc to protein supplements, most companies touted their version of a cure as best to protect people. WhatsApp group chats, social media platforms, and family discussions were flooded with home remedies, recipes, and Kadhas to boost immunity! The most googled health topic in 2020 was “how to increase immunity”, a clear indication of people wanting to adopt any and everything that would give them protection from Covid-19!",CovidNews," May 10 , 2021"
Why zinc is important in the treatment of COVID-19,"As Covid-19 continues its grip on the world, and in catastrophic proportions in India, emphasis on immunity boosting supplements has only increased. Apart from Vitamin C, Zinc is another element so essential to our immune systems.",CovidNews," May 3 , 2021"
Using face masks reduces the transmission of COVID-19 and doesn’t lead to oxygen deficiency or carbon dioxide buildup in the blood,Both medical and non-medical face masks can reduce the emission of potentially infectious liquid particles into the air. This reduces the transmission of respiratory viruses such as SARS-CoV-2. It is physically impossible for face masks to block the exchange of oxygen and carbon dioxide. Gas molecules are many times smaller than the filter size of face masks. There are no long-term negative health effects caused by the use of face masks.,CovidNews,"April 18,2021"
Coronavirus Cure: What is steam inhalation and does it help in fight against COVID-19?,"neither World Health Organization (WHO) nor U.S. Centers for Disease Control and Prevention (CDC) recommend this treatment for preventing coronavirus. CDC representative told Reuters that the steam inhalation practice is risky and there is no scientific proof that it can prevent coronavirus. Adding further to the information, the representative said that this steam inhalation is a risky process and can even cause burn injury.",CovidNews,"April 20,2021"
Delhi Police Recovers 100+ Oxygen Concentrators from Two Upscale Restaurants,"The Delhi Police on Friday said it has recovered 105 oxygen concentrators during raids at two upscale restaurants and arrested four people.

Ninety-six oxygen concentrators were recovered from popular restaurant Khan Chacha and nine from Town Hall restaurant, both situated in the Khan Market area, the police said.

This comes a day after the police recovered 419 oxygen concentrators from a restaurant-cum-bar in south Delhi’s Lodhi Colony area and arrested four men – Gaurav, Satish Sethi, Vikrant and Hitesh for hoarding and black-marketing the equipment.",CovidNews," May 08, 2021"
What is the new 'triple mutant variant' of Covid-19 virus found in Bengal? How bad is it?,The 'triple mutant variant' or the 'Bengal strain' is a new variant of the Covid-19 virus that has been detected in India. Experts say this variant is more infectious and is spreading rapidly.,CovidNews,"April 22,2021"
Covid third wave may not happen if we take strong measures: Govt's top scientific advisor,"India can avert the third wave of coronavirus if the government takes strong measures, K VijayRaghavan, Principal Scientific Advisor to Centre said on Friday.

""If we (India) take strong measures, the third wave may not happen in all the places or indeed anywhere at all. It depends much on how effectively the guidance is implemented at the local level, in the states, in districts and the cities everywhere,"" the Principal Scientific Advisor said in a press briefing on Friday.",CovidNews," May 08, 2021"
"India likely to see 2nd Covid wave peak by May 7, says govt’s top mathematician Prof M Vidyasagar","In an interview with Rahul Kanwal on Newstrack, Prof M Vidyasagar said the second Covid-19 wave is likely to attain its peak by the end of this week. He said different states would attain their peaks at different times.",CovidNews,"May 05,2021"
"COVID-19 infection is transmitted via air, says US CDC","Exposure to respiratory fluids -- very fine respiratory droplets and aerosol particles -- present in air and which carry viruses are the main reason for contracting Covid-19 infection, the US Centers for Disease Control and Prevention (CDC) said.",CovidNews," May 09 , 2021"
WHO classifies Indian Covid strain as 'variant of concern',"The B-1617 variant of the coronavirus, first identified in India, has been classified as a “variant of concern” at the global level by the World Health Organisation (WHO). Dr Maria Van Kerkhove, COVID-19 Technical Lead at the WHO, said Monday that the B.1.617 virus variant that was first identified in India had been classified as a “variant of interest” by the WHO.",CovidNews," May 10 , 2021"
COVID-19: US CDC confirms transmission of SARS-CoV-2 from inhalation of virus in air,"The United States Centers for Disease Control and Prevention (CDC) has updated its public guidelines on the transmission of SARS-CoV-2, the virus which causes coronavirus (COVID-19).

As of May 7, 2021, there were three majors updates by CDC that said the transmission of SARS-CoV-2 can occur from inhalation of virus in the air farther than six feet from an infectious source, SARS-CoV-2 is transmitted by exposure to infectious respiratory fluids and that the risk of SARS-CoV-2 infection varies according to the amount of virus to which a person is exposed.",CovidNews," May 09 , 2021"
Does Covid-19 increase risk of heart attack? Top doctor lists out warning signs,Eminent cardiologist Dr. Naresh Trehan in an exclusive interview to Hindustan Times's Kumkum Chadha spoke on warning signs and preventive steps that heart patients should look at when the second wave of coronavirus disease (Covid-19) is infecting people of all age at a rapid pace. Dr. Trehan cited instances of heart attacks in many patients without any pre-existing history of any heart-related ailment.,CovidNews," May 09 , 2021"
No evidence DMX's heart attack was caused by COVID-19 vaccine,"Many fans recently took to social media to pay tribute to iconic hip-hop artist DMX – real name Earl Simmons – who died April 10 at 50 years old, following a heart attack and a week on life support in White Plains, New York.

Celebrity gossip sites and social media users used DMX's death to promote an unfounded rumor that he received the COVID-19 vaccine days before his heart attack, suggesting a correlation between the two. 

The claim originated in an April 8 article published by MediaTakeOut headlined, ""DMX Received Covid Vaccine Days Before Heart Attack - Family Says NO DRUGS! (EXCLUSIVE).""

The piece cites an unnamed DMX family member who allegedly told the outlet the rapper got the vaccine in New York once it became available for people over 50 years old. The family member ""suspects"" his heart attack was a reaction to the vaccine, the article claimed",CovidNews,"April 13,2021"
"After Maharashtra and Delhi, Black Fungus Reported from 3 Covid-19 Patients in UP's Meerut","“The Covid-19 patients who are being given steroids, are diabetic or are under chemotherapy or transplant patients have been facing new challenges due to this fungus. The fungus is majorly attacking people who are low on immunity and are in a serious condition. Three patients have been diagnosed with black fungus at our hospital out of which one is diabetic, one is a transplant patient and is a normal patient. All three of them are infected with Covid for some time and have been administered steroids to strengthen their lungs,”",CovidNews," May 11 , 2021"
"Bhubaneswar reports first black fungus case in Odisha

","Odisha on Monday reported its first case of black fungus inf ..

",CovidNews," May 11 , 2021"
Deadly 'Black Fungus' in India: 10 facts about mucormycosis in Covid-19 patients,"Odisha has detected its first case of mucormycosis or 'black fungus' in a 71-year-old Covid-19 patient with a known history of uncontrolled diabetes, officials said, news agency PTI reported. On Friday Niti Aayog Member (Health) V K Paul had said that mucormycosis cases were being found in coronavirus patients. Maharashtra, Gujarat have reported a rise in cases of the rare but potentially fatal infection.",CovidNews," May 11 , 2021"
"Good post-Covid care critical for better, quick recovery, say doctors","Asymptomatic or mildly symptomatic Covid patients are considered to be virus-free after 10 to 14 days. For patients who are hospitalized, it was earlier suggested that an RT-PCR test be done before discharge, However, that recommendation has changed now. Health care experts have found that sometimes a Covid test returning positive simply suggests the presence of harmless virus particles, which the immune system has efficiently dealt with. Recovered patients can continue to have SARS-CoV-2 RNA detected in their upper respiratory specimens for up to 12 weeks after symptoms develop, said Dr Vittul K. Gupta, chairman of Association of Physicians of India (API), Malwa Branch.",CovidNews," May 11 , 2021"
Doctors spot new trend in Covid 2nd wave: Strokes in recovering or discharged patients,"The rise in Covid-19 cases across the country has brought with it, among other issues, a higher incidence of strokes, according to several neurologists.

Strokes have long been associated with the SARS-CoV-2 virus, which causes inflammation in the body and coagulation of blood, increasing the chances for vulnerable populations to develop a stroke. The rise in stroke cases among Covid-19 patients is most likely a result of the large number of infections being recorded in the second wave compared to the last, doctors told ThePrint.
",CovidNews," May 11 , 2021"
How pulmonary rehabilitation can help in Covid recovery,"The rapid surge of COVID-19 has covered the entire nation. Usually, COVID symptoms resolve overtime. However, in some critical cases, it has led to development of ARDS (Acute Respiratory Distress Syndrome), septic shock, hypovolaemia (low fluid in body), multiple organ failures, and congestive heart failure. These complications are seen predominately in older adults and individuals with cardiorespiratory, endocrine, or gestational co-morbidities.",CovidNews,"April 30,2021"
"Plasma therapy for Covid ‘irrational, non-scientific’, change guidelines, experts ask govt","In an open letter addressed to the Principal Scientific Advisor to the Government of India, Dr VijayRaghavan, the Indian Council of Medical Research (ICMR) and the All India Institute of Medical Sciences (AIIMS), a group of 18 clinicians and public health professionals have expressed concern over the “irrational and non-scientific” use of plasma in Covid treatment.",CovidNews," May 10 , 2021"
"Medical Experts Say Plasma Therapy Is ‘Unnecessary’ for Covid19, Urge Govt To Review Guidelines","A group of scientists, public health professionals, and experts appealed to the Indian government on Sunday to clear the air around plasma therapy as a treatment for Covid19 — noting it is ineffective, unnecessary, and rooted in popular belief instead of science. The government should review its guidelines on plasma usage and dispel uncertainty among patients and donors, their letter says.

The discourse around plasma donation is disputed. Plasma, a component in the bloodstream that carries antibodies, rose to notice as people resorted to plasma therapy for Covid19 treatment or urged patients who had recently survived Covid to donate their plasma. However, scientists and medical experts have cautioned there is no scientific basis for using plasma in fighting Covid19 and that it in fact does more harm than good. The Indian government, on the other hand, has expressed tacit approval of the treatment, with some politicians even personally endorsing it.",CovidNews," May 11 , 2021"
COVID-19: 'Blood clot' threat after recovery from Corona,"Another symptom of the COVID-19 found in people who have been cured of coronavirus. According to the report, coronavirus is now affecting not only the lungs but also other parts of the body.",CovidNews," May 11 , 2021"
Long COVID: The impact of coronavirus on humans,"""Evidently, there is a lot more to the disease than the respiratory infection that people recover from after a few weeks or a month. The research and understanding related to these long-term impacts are crucial to finding a holistic cure and treatment process for the pandemic,"" said Dr Vishal Sehgal",CovidNews," May 08, 2021"
Here's Why You Shouldn't Worry About COVID-Carrying Houseflies,"Ordinary houseflies can pick up SARS-CoV-2, the virus that causes COVID-19, and carry the virus for up to 24 hours, according to a new study. But experts say you shouldn't worry about contracting the virus from pesky bugs this summer.",CovidNews,"April 27,2021"
"Can Houseflies Spread COVID-19?

","Veteran Bollywood Actor Amitabh Bachchan recently shared a video on Twitter where he says, ""If the house fly sits on this excreta and then on some food articles and spread the disease. So, it is very important that we start a people's movement against this, just like we did under the leadership of the Prime Minister to make the country open defecation free.""

",CovidNews,"March 30,2021"
"COVID 19 : Vaccine YES, but will solve only 50% of the Probl ..

","The COVD19 Pandemic has been devastating. It has killed near ..

",CovidNews," May 11 , 2021"
Bengaluru: Private hospitals body launches Search My Bed portal for covid patients,"The Private Hospitals and Nursing Homes Association (PHANA) in Bengaluru on Sunday launched a ‘searchmybed’ portal where the public can view bed status in various private hospitals which is vacant to treat Covid19 patients.

The portal which is similar to Bengaluru civic body BBMP’s bed status portal is updated in real-time where the public can contact hospitals to book the beds",CovidNews," May 10 , 2021"
Only 152 oxygen beds available for COVID-19 patients in Ahmedabad,"With only 152 oxygen beds available at hospitals, the civic body in Gujarat’s Ahmedabad city has appealed to citizens to avoid stepping out of their homes unless absolutely necessary, an official said on Wednesday.

The Ahmedabad Municipal Corporation (AMC) had doubled the overall bed capacity at hospitals in a month and half, and added more than 2,000 oxygen beds in the last 15 days alone.",CovidNews,"April 28,2021"
Delhi hospitals to update COVID-19 bed availability on corona app every 2 hours,"The heads of the hospitals providing COVID-19 care will have to update the information on the Delhi Corona App as frequently as possible, maintaining an interval not exceeding two hours. The nodal officers and in-charges at hospitals have been tasked with ensuring compliance.",CovidNews," May 07, 2021"
Private hospitals must display bed availability,"A notification, issued by Chief Secretary P. Ravi Kumar, directed all hospitals registered under the Karnataka Private Medical Establishments (KPME) to display on board at the reception counter the total number of beds available in the hospital, number of beds allocated for COVID-19 patients referred by BBMP, number of ICU beds, number of ICU beds with ventilators, beds with high flow of oxygen, and beds with regular flow of oxygen.",CovidNews," May 01, 2021"
Oxygen cylinder price should be same for everyone: Delhi High Court,The Delhi High Court has taken a strict stance on the price of oxygen cylinders in the national capital and has directed the Delhi government to determine the price of empty and filled cylinders to ensure that everyone gets them at the same price.,CovidNews," May 10 , 2021"
"Citizens Against Covid' condemns move by cylinder manufactu ..

","MUMBAI: The Citizens Against Covid (India) - a forum of indi ..

",CovidNews," May 11 , 2021"
"Hiking Price, Black Marketing, Hoarding of Oxygen Cylinders Crime in Kerala","The Kerala government has issued an order against the increasing the price, hoarding, or black marketing of oxygen cylinders in the State. Any kind of violation will warrant action under the Disaster Management Act and Kerala Epidemic Diseases Act.

The order issued by Chief Secretary V P Joy says that no artificial scarcity shall be created through hoarding or other illegal means by any person or entity dealing with such cylinders.

This comes as Covid cases are seeing a surge in the State with about 42,464 being tested positive on Thursday. Test positivity rate is 27.28 percent. Kerala also reported 63 deaths on Thursday with total deaths climbing to 5,628 in the State.",CovidNews," May 06, 2021"
"Online sales of portable oxygen cylinders soar, demand up 4  ..

Read more at:
http://timesofindia.indiatimes.com/articleshow/82151153.cms?utm_source=contentofinterest&utm_medium=text&utm_campaign=cppst","CHENNAI: While people are running from pillar to post for
",CovidNews,"April 20,2021"
Five oxygen plants in Singareni hospitals in 6 weeks,The Singareni Collieries Company Ltd (SCCL) has decided to set up five oxygen plants at its hospitals with a cost of ?2 crore and also to procure ventilators and other necessary medical equipment with another ?3.15 crore to ensure complete COVID healthcare services.,CovidNews," May 11 , 2021"
"COVID outpatients don't benefit from hydroxychloroquine, lopinavir-ritonavir","A randomized, controlled trial of 685 adult COVID-19 outpatients in Brazil finds that neither the antimalaria drug hydroxychloroquine nor the antiviral drugs lopinavir-ritonavir significantly lowered rates of coronavirus–related hospitalizations when given soon after symptom onset.",CovidNews,"April 22,2021"
"Rajasthan's Jhalawar gets oxygen plant donated by UK

","KOTA: One of the three 18-tonne oxygen generation plants, se ..

",CovidNews," May 11 , 2021"
Paytm pledges to provide 100 oxygen concentrators and an oxygen plant to Gujarat to fight COVID-19,"New Delhi: Digital financial services platform Paytm on Tuesday announced that Paytm Foundation in association with AIF, Act foundation and Elevation Capital will be providing 100 oxygen concentrators and setting up an Oxygen Plant for the Gujarat Government under its #OxygenForIndia initiative. 

These medical equipments would be directly provided to government hospitals, COVID care facilities, nursing homes as per the requirement of the state. The foundation will deliver the oxygen concentrators and plant in the coming weeks which will contribute to meeting the demand for Oxygen in the state of Gujarat. ",CovidNews," May 11 , 2021"
"AIIMS Bibinagar to have oxygen plant, says Kishan","HYDERABAD: Union Minister of State for Home Affairs G Kishan Reddy on Monday inspected the All India Institute of Medical Sciences (AIIMS), Bibinagar. He directed Union Health Secretary Rajesh Bhushan to immediately send ventilators and Director of Medical Education (DME), Telangana, Dr K Ramesh Reddy, to solve the medical oxygen issue in the hospital.",CovidNews," May 11 , 2021"
"Deadline for S Goa’s oxygen plant likely to be missed, though COVID patients getting enough oxygen","MARGAO: Chief Minister Pramod Sawant’s, tour of South Goa, on May 2 to audit and assess the availability of oxygen was seen as a breath of fresh air. While South Goa seems to be able to provide enough Oxygen for its COVID patients who need that support, the caseload is increasing. And the promised Oxygen plant, scheduled to be commissioned by May 15, is unlikely to meet the deadline for a piquant reason,",CovidNews," May 11 , 2021"
"Deen Dayal Upadhyay Hospital gets pressure swing adsorption  ..

","The PSA plant has been installed by MVS Engineering to help  ..

",CovidNews," May 11 , 2021"
Work on to manufacture medical oxygen at Salem Steel Plant,"Work is progressing to manufacture medical oxygen at the Salem Steel Plant, to be used to meet medical oxygen needs in Salem district.

The requirement of medical oxygen has increased in the second wave of COVID-19 and a significant number of patients require oxygen support during COVID-19 treatment.

According to health officials, patients prolonging COVID-19 tests despite showing symptoms is leading to the need for critical care here. Health officials here said that approximately 14 KL of medical oxygen is required in the district on a day.",CovidNews," May 11 , 2021"
